AC No,AC Name,Total Electors Male,Total Electors Female,Total Electors Third Gender,Total Electors,Voted Male,Voted Female,Voted Third Gender,Total Voted,Male Turnout (%),Female Turnout (%),Third Gender Turnout (%),Total turnout (%),,,,,
152,Borivali,165268,160464,2,325734,104351,98633,1,202985,63.14,61.47,50.00,62.32,,,,,
153,Dhaisar,147467,130399,49,277915,85613,76481,11,162105,58.06,58.65,22.45,58.33,,,,,
154,Magathane,164763,139862,2,304627,96840,83968,1,180809,58.78,60.04,50.00,59.35,,,,,
155,Mulund,151298,145367,22,296687,93971,88253,14,182238,62.11,60.71,63.64,61.42,,,,,
156,Vikhroli,127334,116200,1,243535,73957,66337,1,140295,58.08,57.09,100.00,57.61,,,,,
157,Bhandup West,155239,133015,32,288286,98196,83071,12,181279,63.25,62.45,37.50,62.88,,,,,
158,Jogeshwari East,157391,141614,10,299015,93122,83761,7,176890,59.17,59.15,70.00,59.16,,,,,
159,Dindoshi,173540,132938,24,306502,98789,78208,12,177009,56.93,58.83,50.00,57.75,,,,,
160,Kandivali East,156580,130313,5,286898,85531,71601,2,157134,54.62,54.95,40.00,54.77,,,,,
161,Charkop,171006,146392,18,317416,98597,84733,7,183337,57.66,57.88,38.89,57.76,,,,,
162,Malad West,188490,169084,345,357919,102741,93662,62,196465,54.51,55.39,17.97,54.89,,,,,
163,Goregaon,177783,151416,13,329212,98256,84813,3,183072,55.27,56.01,23.08,55.61,,,,,
164,Varsova,153932,132776,3,286711,78790,68697,0,147487,51.18,51.74,0.00,51.44,,,,,
165,Andheri West,148846,139272,7,288125,79692,74942,2,154636,53.54,53.81,28.57,53.67,,,,,
166,Andheri East,153814,134335,1,288150,89269,78652,0,167921,58.04,58.55,0.00,58.28,,,,,
167,Vile Parle,142655,132670,0,275325,81161,75704,0,156865,56.89,57.06,0.00,56.97,,,,,
168,Chandivali,253526,199458,19,453003,131202,108532,5,239739,51.75,54.41,26.32,52.92,,,,,
169,Ghatkopar West,147823,129589,120,277532,88755,77698,46,166499,60.04,59.96,38.33,59.99,,,,,
170,Ghatkopar East,130072,119445,22,249539,77586,71086,11,148683,59.65,59.51,50.00,59.58,,,,,
171,Mankhurd shivajinagar,187192,146898,46,334136,95446,78748,17,174211,50.99,53.61,36.96,52.14,,,,,
172,Anushakti Nagar,143844,125194,31,269069,75656,69727,23,145406,52.60,55.70,74.19,54.04,,,,,
173,Chembur,135131,123806,10,258947,73956,68376,6,142338,54.73,55.23,60.00,54.97,,,,,
174,Kurla (SC),157481,134734,13,292228,82948,72365,6,155319,52.67,53.71,46.15,53.15,,,,,
175,Kalina,129157,112568,12,241737,67723,59623,10,127356,52.43,52.97,83.33,52.68,,,,,
176,Vandre East,131956,117127,21,249104,72691,63432,8,136131,55.09,54.16,38.10,54.65,,,,,
177,Vandre West,149869,138867,10,288746,75749,72552,3,148304,50.54,52.25,30.00,51.36,,,,,
,Total,4101457,3583803,838,7686098,2300588,2033655,270,4334513,56.09,56.75,32.22,56.39,,,,,
